,facility_available_name,facility_is_available,place_name
826,주출입구 높이차이 제거_마법의 성(일반음식점),이용가능,마법의 성(일반음식점)
827,주출입구 접근로_멀티하우스리빙텔-고시원,이용가능,멀티하우스리빙텔-고시원
828,장애인 전용 주차구역_멀티하우스리빙텔-고시원,이용가능,멀티하우스리빙텔-고시원
829,주출입구 접근로_메종르베이지-카페,이용가능,메종르베이지-카페
830,장애인 전용 주차구역_메종르베이지-카페,이용가능,메종르베이지-카페
831,주출입구 접근로_무스쿠스(도화타워),이용가능,무스쿠스(도화타워)
832,장애인 전용 주차구역_무스쿠스(도화타워),이용가능,무스쿠스(도화타워)
833,주출입구 높이차이 제거_무스쿠스(도화타워),이용가능,무스쿠스(도화타워)
834,주출입구 접근로_민들레영토,이용가능,민들레영토
835,장애인 전용 주차구역_민들레영토,이용가능,민들레영토
836,주출입구 높이차이 제거_민들레영토,이용불편,민들레영토
837,"주출입구 접근로_밀러타임(지하1,지상2,3,4층)-호프",이용가능,"밀러타임(지하1,지상2,3,4층)-호프"
838,주출입구 접근로_베아따빌딩신관,이용가능,베아따빌딩신관
839,장애인 전용 주차구역_베아따빌딩신관,이용가능,베아따빌딩신관
840,주출입구 접근로_보보-카페,이용가능,보보-카페
841,장애인 전용 주차구역_보보-카페,이용불편,보보-카페
842,주출입구 높이차이 제거_보보-카페,이용가능,보보-카페
843,주출입구 접근로_보보리스-미용실,이용가능,보보리스-미용실
844,장애인 전용 주차구역_보보리스-미용실,이용가능,보보리스-미용실
845,주출입구 접근로_볼트82,이용가능,볼트82
846,장애인 전용 주차구역_볼트82,이용가능,볼트82
847,주출입구 접근로_사이공 스픈 32-동남아음식,이용가능,사이공 스픈 32-동남아음식
848,장애인 전용 주차구역_사이공 스픈 32-동남아음식,이용가능,사이공 스픈 32-동남아음식
849,주출입구 높이차이 제거_사이공 스픈 32-동남아음식,이용가능,사이공 스픈 32-동남아음식
850,주출입구 접근로_샬롬빌,이용가능,샬롬빌
851,장애인 전용 주차구역_샬롬빌,이용가능,샬롬빌
852,주출입구 높이차이 제거_샬롬빌,이용가능,샬롬빌
853,장애인 전용 주차구역_서광폴리머,이용가능,서광폴리머
854,주출입구 높이차이 제거_서광폴리머,이용가능,서광폴리머
855,장애인 전용 주차구역_석천(근린생활시설),이용가능,석천(근린생활시설)
856,주출입구 높이차이 제거_석천(근린생활시설),이용불편,석천(근린생활시설)
857,주출입구 접근로_세븐몽키스(금원빌딩),이용가능,세븐몽키스(금원빌딩)
858,장애인 전용 주차구역_세븐몽키스(금원빌딩),이용가능,세븐몽키스(금원빌딩)
859,주출입구 접근로_수상한포차,이용가능,수상한포차
860,장애인 전용 주차구역_수상한포차,이용가능,수상한포차
861,주출입구 높이차이 제거_수상한포차,이용불편,수상한포차
862,주출입구 접근로_수상한포차,이용가능,수상한포차
863,장애인 전용 주차구역_수상한포차,이용가능,수상한포차
864,주출입구 높이차이 제거_수상한포차,이용가능,수상한포차
865,주출입구 접근로_순봉상가(불토불가마사우나),이용불편,순봉상가(불토불가마사우나)
866,장애인 전용 주차구역_순봉상가(불토불가마사우나),이용불편,순봉상가(불토불가마사우나)
867,주출입구 높이차이 제거_순봉상가(불토불가마사우나),이용불편,순봉상가(불토불가마사우나)
868,주출입구 접근로_스타벅스 신촌점,이용가능,스타벅스 신촌점
869,장애인 전용 주차구역_스타벅스 신촌점,이용가능,스타벅스 신촌점
870,주출입구 높이차이 제거_스타벅스 신촌점,이용가능,스타벅스 신촌점
871,주출입구 접근로_스타벅스 커피 스토리,이용가능,스타벅스 커피 스토리
872,장애인 전용 주차구역_스타벅스 커피 스토리,이용가능,스타벅스 커피 스토리
873,주출입구 높이차이 제거_스타벅스 커피 스토리,이용가능,스타벅스 커피 스토리
874,주출입구 접근로_스타벅스(보라빌딩),이용가능,스타벅스(보라빌딩)
875,장애인 전용 주차구역_스타벅스(보라빌딩),이용가능,스타벅스(보라빌딩)
876,주출입구 높이차이 제거_스타벅스(보라빌딩),이용가능,스타벅스(보라빌딩)
877,주출입구 접근로_신동희,이용가능,신동희
878,장애인 전용 주차구역_신동희,이용가능,신동희
879,주출입구 높이차이 제거_신동희,이용가능,신동희
880,주출입구 접근로_쌍쌍포차,이용가능,쌍쌍포차
881,장애인 전용 주차구역_쌍쌍포차,이용가능,쌍쌍포차
882,주출입구 접근로_씨제이푸드,이용불편,씨제이푸드
883,장애인 전용 주차구역_씨제이푸드,이용가능,씨제이푸드
884,주출입구 접근로_아워홈역삼빌딩,이용가능,아워홈역삼빌딩
885,장애인 전용 주차구역_아워홈역삼빌딩,이용가능,아워홈역삼빌딩
886,주출입구 접근로_알비훠스트,이용가능,알비훠스트
887,주출입구 높이차이 제거_알비훠스트,이용가능,알비훠스트
888,주출입구 접근로_언더브릿지(일반음식점),이용불편,언더브릿지(일반음식점)
889,장애인 전용 주차구역_언더브릿지(일반음식점),이용가능,언더브릿지(일반음식점)
890,주출입구 높이차이 제거_언더브릿지(일반음식점),이용불편,언더브릿지(일반음식점)
891,주출입구 접근로_엔씨레이디스-백화점,이용불편,엔씨레이디스-백화점
892,장애인 전용 주차구역_엔씨레이디스-백화점,이용불편,엔씨레이디스-백화점
893,주출입구 높이차이 제거_엔씨레이디스-백화점,이용불편,엔씨레이디스-백화점
894,주출입구 접근로_엔젤리너스카페,이용가능,엔젤리너스카페
895,주출입구 높이차이 제거_엔젤리너스카페,이용가능,엔젤리너스카페
896,주출입구 접근로_오렌지팩토리-의류판매,이용가능,오렌지팩토리-의류판매
897,장애인 전용 주차구역_오렌지팩토리-의류판매,이용가능,오렌지팩토리-의류판매
898,주출입구 접근로_와라와라(혜진빌딩),이용가능,와라와라(혜진빌딩)
899,장애인 전용 주차구역_와라와라(혜진빌딩),이용가능,와라와라(혜진빌딩)
900,주출입구 접근로_원투쓰리,이용가능,원투쓰리
901,주출입구 높이차이 제거_원투쓰리,이용불편,원투쓰리
902,주출입구 접근로_일반음식점(에덴),이용가능,일반음식점(에덴)
903,장애인 전용 주차구역_일반음식점(에덴),이용가능,일반음식점(에덴)
904,주출입구 높이차이 제거_일반음식점(에덴),이용불편,일반음식점(에덴)
905,주출입구 접근로_정우씨티,이용가능,정우씨티
906,장애인 전용 주차구역_정우씨티,이용가능,정우씨티
907,주출입구 높이차이 제거_정우씨티,이용가능,정우씨티
908,주출입구 접근로_제2근린생활(수한의원부동산),이용가능,제2근린생활(수한의원부동산)
909,장애인 전용 주차구역_제2근린생활(수한의원부동산),이용가능,제2근린생활(수한의원부동산)
910,주출입구 높이차이 제거_제2근린생활(수한의원부동산),이용가능,제2근린생활(수한의원부동산)
911,주출입구 접근로_주노도시-카페,이용가능,주노도시-카페
912,장애인 전용 주차구역_주노도시-카페,이용가능,주노도시-카페
913,주출입구 높이차이 제거_주노도시-카페,이용불편,주노도시-카페
914,주출입구 접근로_주런,이용가능,주런
915,장애인 전용 주차구역_주런,이용가능,주런
916,주출입구 접근로_중림동 325-1 제2종근린생활시설(우진제임스전),이용가능,중림동 325-1 제2종근린생활시설(우진제임스전)
917,주출입구 높이차이 제거_중림동 325-1 제2종근린생활시설(우진제임스전),이용불편,중림동 325-1 제2종근린생활시설(우진제임스전)
918,주출입구 접근로_지오브레스빌딩,이용가능,지오브레스빌딩
919,주출입구 높이차이 제거_지오브레스빌딩,이용가능,지오브레스빌딩
920,주출입구 접근로_지태하,이용불편,지태하
921,장애인 전용 주차구역_지태하,이용불편,지태하
922,주출입구 높이차이 제거_지태하,이용불편,지태하
923,주출입구 접근로_진미파라곤,이용가능,진미파라곤
924,장애인 전용 주차구역_진미파라곤,이용가능,진미파라곤
925,주출입구 높이차이 제거_진미파라곤,이용불편,진미파라곤
926,주출입구 접근로_청산유통,이용불편,청산유통
927,장애인 전용 주차구역_청산유통,이용가능,청산유통
928,주출입구 접근로_카페 무이무이,이용가능,카페 무이무이
929,장애인 전용 주차구역_카페 무이무이,이용가능,카페 무이무이
930,주출입구 높이차이 제거_카페 무이무이,이용가능,카페 무이무이
931,주출입구 접근로_카페뎀셀브쥬,이용가능,카페뎀셀브쥬
932,장애인 전용 주차구역_카페뎀셀브쥬,이용가능,카페뎀셀브쥬
933,주출입구 접근로_카페프렌즈,이용가능,카페프렌즈
934,장애인 전용 주차구역_카페프렌즈,이용가능,카페프렌즈
935,주출입구 높이차이 제거_카페프렌즈,이용가능,카페프렌즈
936,주출입구 접근로_커피빈,이용가능,커피빈
937,장애인 전용 주차구역_커피빈,이용가능,커피빈
938,주출입구 높이차이 제거_커피빈,이용가능,커피빈
939,주출입구 접근로_커피빈 압구정점(스마트 익스체인지 빌딩),이용가능,커피빈 압구정점(스마트 익스체인지 빌딩)
940,주출입구 접근로_커피빈 코리아 삼성점(우창빌딩),이용가능,커피빈 코리아 삼성점(우창빌딩)
941,장애인 전용 주차구역_커피빈 코리아 삼성점(우창빌딩),이용불편,커피빈 코리아 삼성점(우창빌딩)
942,주출입구 높이차이 제거_커피빈 코리아 삼성점(우창빌딩),이용가능,커피빈 코리아 삼성점(우창빌딩)
943,주출입구 접근로_커피스미스,이용가능,커피스미스
944,주출입구 접근로_코나커피숍,이용가능,코나커피숍
945,장애인 전용 주차구역_코나커피숍,이용가능,코나커피숍
946,주출입구 높이차이 제거_코나커피숍,이용가능,코나커피숍
947,주출입구 접근로_타운플라자,이용가능,타운플라자
948,장애인 전용 주차구역_타운플라자,이용가능,타운플라자
949,주출입구 접근로_트라이랜드,이용가능,트라이랜드
950,장애인 전용 주차구역_트라이랜드,이용가능,트라이랜드
951,주출입구 높이차이 제거_트라이랜드,이용가능,트라이랜드
