,place_name,place_address,lat,lon,category,place_id
4384,가락빌딩 화장실,서울특별시 송파구 가락동 8-2,37.505896,127.109766,toilet/open,10485
4385,풍납지구대 화장실,서울특별시 송파구 풍납2동 403-11,37.514285,127.11389199999999,toilet/open,10486
4386,청호빌딩 화장실,서울특별시 송파구 석촌동 174-12,37.522388,127.10296699999999,toilet/open,10487
4387,신우빌딩 화장실,서울특별시 송파구 석촌동 296-2,37.506227,127.131651,toilet/open,10488
4388,세븐스타빌딩 화장실,서울특별시 송파구 잠실동 19-8,37.510861,127.11022700000001,toilet/open,10489
4389,민성빌딩 화장실,서울특별시 송파구 잠실동 222-5,37.499311999999996,127.097053,toilet/open,10490
4390,석촌레이크빌 화장실,서울특별시 송파구 석촌동 184-7,37.504302,127.089021,toilet/open,10491
4391,우진빌딩 화장실,서울특별시 송파구 송파동 147-1,37.502383,127.094292,toilet/open,10492
4392,아이티벤처타워 화장실,서울특별시 송파구 가락동 78,37.475386,127.12756999999999,toilet/open,10493
4393,파크인수빌딩 화장실,서울특별시 송파구 잠실본동 230,37.506586,127.08099399999999,toilet/open,10494
4394,향군타워B동 화장실,서울특별시 송파구 신천동 7-13,37.503901,127.13815600000001,toilet/open,10495
4395,문산부인과 화장실,서울특별시 송파구 가락동 94-3,37.502295000000004,127.093303,toilet/open,10496
4396,뉴스타트병원 화장실,서울특별시 송파구 가락동 159-7,37.494675,127.14849,toilet/open,10497
4397,올림픽병원 화장실,서울특별시 송파구 석촌동 14-10,37.528724,127.116851,toilet/open,10498
4398,서울병원 화장실,서울특별시 송파구 가락본동 2,37.495332,127.14081200000001,toilet/open,10499
4399,빠른병원 화장실,서울특별시 송파구 송파동 20-7,37.496936,127.148574,toilet/open,10500
4400,한솔병원 화장실,서울특별시 송파구 석촌동 174-13,37.495509999999996,127.12175,toilet/open,10501
4401,힘찬병원 화장실,서울특별시 송파구 송파동 20-8,37.50277,127.09253799999999,toilet/open,10502
4402,잠실중앙상가 화장실,서울특별시 송파구 잠실동 27-6,37.503592,127.103652,toilet/open,10503
4403,올림픽프라자상가 화장실,서울특별시 송파구 방이동 89-11,37.502334000000005,127.116708,toilet/open,10504
4404,장미상가 A 화장실,서울특별시 송파구 신천동 7,37.506276,127.109292,toilet/open,10505
4405,장미상가 B 화장실,서울특별시 송파구 신천동 7,37.502939000000005,127.12808400000002,toilet/open,10506
4406,잠실지하 상가 화장실,서울특별시 송파구 잠실동,37.514590000000005,127.114434,toilet/open,10507
4407,갤러리아팰리스 화장실,서울특별시 송파구 잠실동 40,37.510961,127.12395500000001,toilet/open,10508
4408,아시아선수촌B동상가 화장실,서울특별시 송파구 잠실동 85,37.520162,127.112274,toilet/open,10509
4409,롯데마트 송파점 화장실,서울특별시 송파구 문정동 150-2,37.513279,127.094223,toilet/open,10510
4410,삼성홈플러스 화장실,서울특별시 송파구 신천동 7-12,37.514129,127.088424,toilet/open,10511
4411,롯데백화점 화장실,서울특별시 송파구 잠실동 40-1,37.506146,127.084383,toilet/open,10512
4412,롯데마트 잠실점 화장실,서울특별시 송파구 잠실동 40-1,37.487,127.13233500000001,toilet/open,10513
4413,롯데캐슬프라자 화장실,서울특별시 송파구 신천동 7-18,37.489875,127.110781,toilet/open,10514
4414,가든파이브(툴) 화장실,서울특별시 송파구 문정동 628,37.490097,127.124133,toilet/open,10515
4415,가든파이브(라이프) 화장실,서울특별시 송파구 문정동 634,37.498713,127.12659099999999,toilet/open,10516
4416,서울주유소 화장실,서울특별시 송파구 가락동 180-4,37.495961,127.149872,toilet/open,10517
4417,제트라인디엠주유소 화장실,서울특별시 송파구 가락동 36-7,37.496986,127.14325500000001,toilet/open,10518
4418,GS훼미리주유소 화장실,"서울특별시 송파구 문정동 150-21, 41",37.538075,127.12206499999999,toilet/open,10519
