,facility_detail_info,facility_available_name
267,보/차도 구분없음,주출입구 접근로_근린생활시설(친구네숯불닭갈비)
268,평탄함,주출입구 접근로_근린생활시설(풍천민물장어)
269,단차없음,주출입구 접근로_근린생활시설(풍천민물장어)
270,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(풍천민물장어)
271,기울기 1/18이하,주출입구 접근로_근린생활시설(풍천민물장어)
272,보/차도 구분없음,주출입구 접근로_근린생활시설(풍천민물장어)
273,상세정보 없음,장애인 전용 주차구역_근린생활시설(풍천민물장어)
274,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(풍천민물장어)
275,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(풍천민물장어)
276,평탄함,주출입구 접근로_근린생활시설(화통구이)
277,단차없음,주출입구 접근로_근린생활시설(화통구이)
278,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(화통구이)
279,기울기 1/18이하,주출입구 접근로_근린생활시설(화통구이)
280,보/차도 구분없음,주출입구 접근로_근린생활시설(화통구이)
281,총주차대수8,장애인 전용 주차구역_근린생활시설(화통구이)
282,평탄함,주출입구 접근로_근린생활시설(황금오리농원)
283,단차없음,주출입구 접근로_근린생활시설(황금오리농원)
284,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(황금오리농원)
285,기울기 1/18이하,주출입구 접근로_근린생활시설(황금오리농원)
286,보/차도 구분없음,주출입구 접근로_근린생활시설(황금오리농원)
287,경사로 1/12초과 설치,주출입구 높이차이 제거_근린생활시설(황금오리농원)
288,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(황금오리농원)
289,손잡이 설치,주출입구 높이차이 제거_근린생활시설(황금오리농원)
290,평탄함,주출입구 접근로_금수복국
291,단차없음,주출입구 접근로_금수복국
292,유효폭 1.2m 이상,주출입구 접근로_금수복국
293,기울기 1/18이하,주출입구 접근로_금수복국
294,보/차도 구분,주출입구 접근로_금수복국
295,총주차대수9,장애인 전용 주차구역_금수복국
296,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_금수복국
297,유효폭 1.2m 이상,주출입구 높이차이 제거_금수복국
298,평탄함,주출입구 접근로_금수복국
299,단차없음,주출입구 접근로_금수복국
300,유효폭 1.2m 이상,주출입구 접근로_금수복국
301,기울기 1/18이하,주출입구 접근로_금수복국
302,보/차도 구분,주출입구 접근로_금수복국
303,총주차대수86,장애인 전용 주차구역_금수복국
